Date,Factors,value
24-Apr-24,Meat,44
24-Apr-24,Reasons,35
24-Apr-24,Protection,48
24-Apr-24,Clostridium botulinum,0
25-Apr-24,Meat,39
25-Apr-24,Reasons,15
25-Apr-24,Protection,38
25-Apr-24,Clostridium botulinum,11
26-Apr-24,Meat,42
26-Apr-24,Reasons,15
26-Apr-24,Protection,28
26-Apr-24,Clostridium botulinum,100
27-Apr-24,Meat,40
27-Apr-24,Reasons,13
27-Apr-24,Protection,39
27-Apr-24,Clostridium botulinum,59
28-Apr-24,Meat,45
28-Apr-24,Reasons,22
28-Apr-24,Protection,51
28-Apr-24,Clostridium botulinum,75
29-Apr-24,Meat,53
29-Apr-24,Reasons,25
29-Apr-24,Protection,50
29-Apr-24,Clostridium botulinum,59
30-Apr-24,Meat,38
30-Apr-24,Reasons,24
30-Apr-24,Protection,39
30-Apr-24,Clostridium botulinum,28
1-May-24,Meat,37
1-May-24,Reasons,14
1-May-24,Protection,32
1-May-24,Clostridium botulinum,23
2-May-24,Meat,42
2-May-24,Reasons,9
2-May-24,Protection,23
2-May-24,Clostridium botulinum,18
3-May-24,Meat,50
3-May-24,Reasons,10
3-May-24,Protection,20
3-May-24,Clostridium botulinum,30
4-May-24,Meat,44
4-May-24,Reasons,14
4-May-24,Protection,33
4-May-24,Clostridium botulinum,34
5-May-24,Meat,41
5-May-24,Reasons,19
5-May-24,Protection,39
5-May-24,Clostridium botulinum,15
6-May-24,Meat,33
6-May-24,Reasons,12
6-May-24,Protection,34
6-May-24,Clostridium botulinum,9
7-May-24,Meat,45
7-May-24,Reasons,21
7-May-24,Protection,41
7-May-24,Clostridium botulinum,16
8-May-24,Meat,48
8-May-24,Reasons,14
8-May-24,Protection,35
8-May-24,Clostridium botulinum,14
9-May-24,Meat,44
9-May-24,Reasons,8
9-May-24,Protection,29
9-May-24,Clostridium botulinum,11
